Type,Date, Time, Image_ID, xx_coord, xy_coord, yx_coord, yy_coord, ESD_in_um
ROI, 2021/03/06, 19:26:37.670, 20210306_192637.670.0.png, 432, 1964, 544, 2048, 0.0016492501093515186
ROI, 2021/03/06, 19:26:38.389, 20210306_192638.389.0.png, 228, 1520, 328, 1588, 0.001939906148632997
ROI, 2021/03/06, 19:26:41.128, 20210306_192641.128.0.png, 4, 1256, 120, 1356, 0.0014852726408674283
ROI, 2021/03/06, 19:26:42.161, 20210306_192642.161.0.png, 232, 304, 332, 388, 0.00174540225563608
ROI, 2021/03/06, 19:26:45.282, 20210306_192645.282.0.png, 2464, 152, 2580, 264, 0.0014034507274512018
ROI, 2021/03/06, 19:26:52.967, 20210306_192652.967.0.png, 856, 364, 984, 524, 0.0011178156862686089
ROI, 2021/03/06, 19:26:55.953, 20210306_192655.953.0.png, 1536, 1536, 1760, 1684, 0.0008785779694907786
ROI, 2021/03/06, 19:27:03.028, 20210306_192703.028.0.png, 176, 428, 272, 512, 0.0017813937175880001
ROI, 2021/03/06, 19:27:05.448, 20210306_192705.448.0.png, 660, 1348, 756, 1444, 0.001666341240541458
ROI, 2021/03/06, 19:27:05.932, 20210306_192705.932.0.png, 1052, 192, 1212, 340, 0.0010395474726362214
ROI, 2021/03/06, 19:27:12.997, 20210306_192712.997.0.png, 1800, 732, 1928, 860, 0.0012497559304060937
ROI, 2021/03/06, 19:27:13.954, 20210306_192713.954.0.png, 1292, 972, 1408, 1148, 0.0011195663775312604
ROI, 2021/03/06, 19:27:14.417, 20210306_192714.417.0.png, 1584, 1820, 1664, 1900, 0.00199960948864975
